"LocationId","EffectiveStartDate","EffectiveEndDate","LocationCode","LocationName","ActiveStatus","CountryCode","CountryName","Region1","Region2","TownOrCity","PostalCode","SetId","SetCode","SetName","SingleLineAddress"
300000230202297,"1951-01-01","4712-12-31","2464","DS - Oudomxay, Lao People's Democratic Republic","A","LA","Lao People's Democratic Republic",,,"Oudomxay",,0,"COMMON","Common Set","NA, OUDOMXAY, LAO PEOPLE'S DEMOCRATIC REPUBLIC"
300000230197253,"1951-01-01","4712-12-31","0124","DS - Ouled Ben Abdelkader, Algeria","A","DZ","Algeria",,,"Ouled Ben Abdelkader",,0,"COMMON","Common Set","NA, OULED BEN ABDELKADER, ALGERIA"
300000230199410,"1951-01-01","4712-12-31","2523","DS - Outhing, Lesotho","A","LS","Lesotho",,,"Outhing",,0,"COMMON","Common Set","NA, OUTHING, LESOTHO"
300000230204263,"1951-01-01","4712-12-31","698B","DS - Outjo, Namibia","A","NA","Namibia",,,"Outjo",,0,"COMMON","Common Set","NA, OUTJO, NAMIBIA"
300000230202662,"1951-01-01","4712-12-31","3218","DS - Owerri, Nigeria","A","NG","Nigeria",,,"Owerri",,0,"COMMON","Common Set","NA, OWERRI, NIGERIA"
300000230203487,"1951-01-01","4712-12-31","507N","DS - Pabna, Bangladesh","A","BD","Bangladesh",,,"Pabna",,0,"COMMON","Common Set","NA, PABNA, BANGLADESH"
300000230204198,"1951-01-01","4712-12-31","438F","DS - Pader, Uganda","A","UG","Uganda",,,"Pader",,0,"COMMON","Common Set","NA, PADER, UGANDA"
300000230195245,"1951-01-01","4712-12-31","066M","DS - Pailin, Cambodia","A","KH","Cambodia",,,"Pailin",,0,"COMMON","Common Set","NA, PAILIN, CAMBODIA"
300000230195957,"1951-01-01","4712-12-31","060L","DS - Pakokku, Myanmar","A","MM","Myanmar",,,"Pakokku",,0,"COMMON","Common Set","NA, PAKOKKU, MYANMAR"
300000230199076,"1951-01-01","4712-12-31","246G","DS - Pakse, Lao People's Democratic Republic","A","LA","Lao People's Democratic Republic",,,"Pakse",,0,"COMMON","Common Set","NA, PAKSE, LAO PEOPLE'S DEMOCRATIC REPUBLIC"
300000230198989,"1951-01-01","4712-12-31","246D","DS - Pakxan, Lao People's Democratic Republic","A","LA","Lao People's Democratic Republic",,,"Pakxan",,0,"COMMON","Common Set","NA, PAKXAN, LAO PEOPLE'S DEMOCRATIC REPUBLIC"
300000230201287,"1951-01-01","4712-12-31","207AD","DS - Palangkaraya, Indonesia","A","ID","Indonesia",," ","Palangkaraya",,0,"COMMON","Common Set","NA, PALANGKARAYA, INDONESIA"
300000230198888,"1951-01-01","4712-12-31","3423","DS - Palawan, Philippines","A","PH","Philippines",,,"Palawan",,0,"COMMON","Common Set","NA, PALAWAN, PHILIPPINES"
300000230195549,"1951-01-01","4712-12-31","0531","DS - Pale, Bosnia and Herzegovina","A","BA","Bosnia and Herzegovina",,"Federacija Bosne i Hercegovine","Pale",,0,"COMMON","Common Set","NA, PALE FEDERACIJA BOSNE I HERCEGOVINE, BOSNIA AND HERZEGOVINA"
300000230200657,"1951-01-01","4712-12-31","207AI","DS - Palembang, Indonesia","A","ID","Indonesia",," ","Palembang",,0,"COMMON","Common Set","NA, PALEMBANG, INDONESIA"
300000230197668,"1951-01-01","4712-12-31","204AT","DS - Palghar, India","A","IN","India",,"Maharashtra","Palghar",,0,"COMMON","Common Set","NA, PALGHAR, Maharashtra, INDIA"
300000230196765,"1951-01-01","4712-12-31","054L","DS - Palmas, Brazil","A","BR","Brazil",," TO","Palmas","77001-000",0,"COMMON","Common Set","NA, Palmas- TO, 77001-000, BRAZIL"
300000230195339,"1951-01-01","4712-12-31","093EB","DS - Palmira, Colombia","A","CO","Colombia",,,"Palmira",,0,"COMMON","Common Set","NA, Palmira, COLOMBIA"
300000230203201,"1951-01-01","4712-12-31","4144","DS - Palmyra, Syria","A","SY","Syria",,,"Palmyra",,0,"COMMON","Common Set","NA, PALMYRA, SYRIA"
300000230202685,"1951-01-01","4712-12-31","207Q","DS - Palu, Indonesia","A","ID","Indonesia",," ","Palu",,0,"COMMON","Common Set","NA, PALU, INDONESIA"
300000230199843,"1951-01-01","4712-12-31","204CH","DS - Panaji, India","A","IN","India",,"Goa","Panaji",,0,"COMMON","Common Set","NA, PANAJI, Goa, INDIA"
300000230198916,"1951-01-01","4712-12-31","3330","DS - Panama City, Panama","A","PA","Panama",,,"Panama City",,0,"COMMON","Common Set","NA, PANAMA CITY, PANAMA"
300000230205588,"2007-01-01","4712-12-31","4955","DS - Pancevo, Serbia","A","RS","Serbia",,,"Pancevo",,0,"COMMON","Common Set","NA, PANCEVO, SERBIA"
300000230196976,"1951-01-01","4712-12-31","204BQ","DS - Panchkula, India","A","IN","India",,"Haryana","Panchkula",,0,"COMMON","Common Set","NA, PANCHKULA, Haryana, INDIA"
300000230198617,"1951-01-01","4712-12-31","207AJ","DS - Pangkal Pinang, Indonesia","A","ID","Indonesia",," ","Pangkal Pinang",,0,"COMMON","Common Set","NA, PANGKAL PINANG, INDONESIA"
300000230197324,"1951-01-01","4712-12-31","060G","DS - Pangkham, Myanmar","A","MM","Myanmar",,,"Pangkham",,0,"COMMON","Common Set","NA, PANGKHAM, MYANMAR"
300000230204145,"2017-11-01","4712-12-31","7066","DS - Pante Makassar, Timor-Leste","I","TL","Timor-Leste",,,"Pante Makassar",,0,"COMMON","Common Set","NA, PANTE MAKASSAR, TIMOR-LESTE"
300000230194803,"1951-01-01","4712-12-31","075F","DS - Paoua, Central African Republic","A","CF","Central African Republic",,,"Paoua",,0,"COMMON","Common Set","NA, PAOUA, CENTRAL AFRICAN REPUBLIC"
300000230197721,"1951-01-01","4712-12-31","1174","DS - Parakou, Benin","A","BJ","Benin",,,"Parakou",,0,"COMMON","Common Set","NA, PARAKOU, BENIN"
300000230205470,"1951-01-01","4712-12-31","6780","DS - Paramaribo, Suriname","A","SR","Suriname",,,"Paramaribo",,0,"COMMON","Common Set","NA, PARAMARIBO, SURINAME"
300000230194699,"1951-01-01","4712-12-31","1470","DS - Paris, France","A","FR","France",," ","Paris","75007",0,"COMMON","Common Set","NA, 75007 PARIS, FRANCE"
300000230197918,"1951-01-01","4712-12-31","0494","DS - Paro, Bhutan","A","BT","Bhutan",,,"Paro",,0,"COMMON","Common Set","NA, PARO, BHUTAN"
300000230194109,"1951-01-01","4712-12-31","006X","DS - Parwan, Afghanistan","A","AF","Afghanistan",,,"Parwan",,0,"COMMON","Common Set","NA, PARWAN, AFGHANISTAN"
300000230200446,"1951-01-01","4712-12-31","404J","DS - Paryang, South Sudan","A","SS","South Sudan",,,"Paryang",,0,"COMMON","Common Set","NA, PARYANG, SOUTH SUDAN"
300000230197760,"1951-01-01","4712-12-31","093A","DS - Pasto, Colombia","A","CO","Colombia",,,"Pasto",,0,"COMMON","Common Set","NA, Pasto, COLOMBIA"
300000230197212,"1951-01-01","4712-12-31","204AZ","DS - Pathardi, India","A","IN","India",,"Maharashtra","Pathardi",,0,"COMMON","Common Set","NA, PATHARDI, Maharashtra, INDIA"
300000230194958,"1951-01-01","4712-12-31","060Z","DS - Pathein, Myanmar","A","MM","Myanmar",,,"Pathein",,0,"COMMON","Common Set","NA, PATHEIN, MYANMAR"
300000230193866,"1951-01-01","4712-12-31","093EH","DS - Patia, Colombia","A","CO","Colombia",,,"Patia",,0,"COMMON","Common Set","NA, Patia, COLOMBIA"
300000230193671,"1951-01-01","4712-12-31","204BJ","DS - Patiala, India","A","IN","India",,"Punjab","Patiala",,0,"COMMON","Common Set","NA, PATIALA, Punjab, INDIA"
