"GradeLadderId","EffectiveStartDate","EffectiveEndDate","Name","ActiveStatus","GradeSetId","GradeTypeCode","GradeType","SetId","SetCode","SetName"
300000230942492,"1951-01-01","4712-12-31","National GS LT Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230994194,"1951-01-01","4712-12-31","National GS LV Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230790452,"1951-01-01","4712-12-31","National GS LY Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230946688,"1951-01-01","4712-12-31","National GS MA Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231010673,"1951-01-01","4712-12-31","National GS MC Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230827932,"1951-01-01","4712-12-31","National GS MD Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230811533,"1951-01-01","4712-12-31","National GS ME Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230818933,"1951-01-01","4712-12-31","National GS MG Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230807089,"1951-01-01","4712-12-31","National GS MH Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231076943,"1951-01-01","4712-12-31","National GS MK Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231075450,"1951-01-01","4712-12-31","National GS ML Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231002149,"1951-01-01","4712-12-31","National GS MM Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231023751,"1951-01-01","4712-12-31","National GS MN Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231011906,"1951-01-01","4712-12-31","National GS MO Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231020445,"1951-01-01","4712-12-31","National GS MR Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231028150,"1951-01-01","4712-12-31","National GS MT Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230947188,"1951-01-01","4712-12-31","National GS MU Grade Ladder <01/07/20","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231061615,"1951-01-01","4712-12-31","National GS MV Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230877289,"1951-01-01","4712-12-31","National GS MW Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000231033641,"1951-01-01","4712-12-31","National GS MX Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
300000230864827,"1951-01-01","4712-12-31","National GS MY Grade Ladder","A",0,"STEP","Grade with steps",0,"COMMON","Common Set"
