"SalaryBasisName","SalaryBasisId","FrequencyCode","FrequencyName","Code","Status","SalaryBasisType","ComponentUsage","AnnualizationFactor","SalaryAmountScale","GradeRateId","InputCurrencyCode","ElementTypeId","LegislativeDataGroupId","UseAtRelationshipLevel","UseAtTermsLevel","UseAtAssignmentLevel"
"National Volunteer UA Youth USD Salary Basis",300000232391465,"ANNUAL","Annually","UKRD","A","U","NO_COMPONENT",1,2,300000230761274,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer UG Community Volunteer UGX Salary Basis",300000232392967,"ANNUAL","Annually","UGAZ","A","U","NO_COMPONENT",1,2,300000230856010,"UGX",300000231308629,300000002583089,"N","N","Y"
"National Volunteer UG Expert UGX Salary Basis",300000232391494,"ANNUAL","Annually","UGA1","A","U","NO_COMPONENT",1,2,300000230760946,"UGX",300000231308629,300000002583089,"N","N","Y"
"National Volunteer UG Specialist UGX Salary Basis",300000232393435,"ANNUAL","Annually","UGAY","A","U","NO_COMPONENT",1,2,300000230897731,"UGX",300000231308629,300000002583089,"N","N","Y"
"National Volunteer UG University UGX Salary Basis",300000232393236,"ANNUAL","Annually","UGAE","A","U","NO_COMPONENT",1,2,300000230773391,"UGX",300000231308629,300000002583089,"N","N","Y"
"National Volunteer UG Youth UGX Salary Basis",300000232391458,"ANNUAL","Annually","UGAD","A","U","NO_COMPONENT",1,2,300000230773865,"UGX",300000231308629,300000002583089,"N","N","Y"
"National Volunteer US Community Volunteer USD Salary Basis",300000232392556,"ANNUAL","Annually","USAZ","A","U","NO_COMPONENT",1,2,300000230760085,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer US Expert USD Salary Basis",300000232392780,"ANNUAL","Annually","USA1","A","U","NO_COMPONENT",1,2,300000230780678,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer US Specialist USD Salary Basis",300000232391856,"ANNUAL","Annually","USAY","A","U","NO_COMPONENT",1,2,300000230760597,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer US University USD Salary Basis",300000232393185,"ANNUAL","Annually","USAE","A","U","NO_COMPONENT",1,2,300000230764042,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer US Youth USD Salary Basis",300000232389802,"ANNUAL","Annually","USAD","A","U","NO_COMPONENT",1,2,300000230970386,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer UY Community Volunteer UYU Salary Basis",300000232390139,"ANNUAL","Annually","URYZ","A","U","NO_COMPONENT",1,2,300000231079299,"UYU",300000231574881,300000002583089,"N","N","Y"
"National Volunteer UY Expert UYU Salary Basis",300000232392051,"ANNUAL","Annually","URY1","A","U","NO_COMPONENT",1,2,300000230789102,"UYU",300000231574881,300000002583089,"N","N","Y"
"National Volunteer UY Specialist UYU Salary Basis",300000232391406,"ANNUAL","Annually","URYY","A","U","NO_COMPONENT",1,2,300000230759834,"UYU",300000231574881,300000002583089,"N","N","Y"
"National Volunteer UY University UYU Salary Basis",300000232394005,"ANNUAL","Annually","URYE","A","U","NO_COMPONENT",1,2,300000230769944,"UYU",300000231574881,300000002583089,"N","N","Y"
"National Volunteer UY Youth UYU Salary Basis",300000232393119,"ANNUAL","Annually","URYD","A","U","NO_COMPONENT",1,2,300000230764208,"UYU",300000231574881,300000002583089,"N","N","Y"
"National Volunteer UZ Community Volunteer USD Salary Basis",300000232392784,"ANNUAL","Annually","UZBZ","A","U","NO_COMPONENT",1,2,300000230801117,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer UZ Expert USD Salary Basis",300000232392172,"ANNUAL","Annually","UZB1","A","U","NO_COMPONENT",1,2,300000230963194,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer UZ Specialist USD Salary Basis",300000232391707,"ANNUAL","Annually","UZBY","A","U","NO_COMPONENT",1,2,300000230976338,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer UZ University USD Salary Basis",300000232393302,"ANNUAL","Annually","UZBE","A","U","NO_COMPONENT",1,2,300000231086974,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer UZ Youth USD Salary Basis",300000232393372,"ANNUAL","Annually","UZBD","A","U","NO_COMPONENT",1,2,300000230901124,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VC Community Volunteer XCD Salary Basis",300000232391369,"ANNUAL","Annually","VCTZ","A","U","NO_COMPONENT",1,2,300000231084422,"XCD",300000231697858,300000002583089,"N","N","Y"
"National Volunteer VC Expert XCD Salary Basis",300000232392142,"ANNUAL","Annually","VCT1","A","U","NO_COMPONENT",1,2,300000230765613,"XCD",300000231697858,300000002583089,"N","N","Y"
"National Volunteer VC Specialist XCD Salary Basis",300000232393049,"ANNUAL","Annually","VCTY","A","U","NO_COMPONENT",1,2,300000230760877,"XCD",300000231697858,300000002583089,"N","N","Y"
"National Volunteer VC University XCD Salary Basis",300000232392802,"ANNUAL","Annually","VCTE","A","U","NO_COMPONENT",1,2,300000231102787,"XCD",300000231697858,300000002583089,"N","N","Y"
"National Volunteer VC Youth XCD Salary Basis",300000232391655,"ANNUAL","Annually","VCTD","A","U","NO_COMPONENT",1,2,300000230757660,"XCD",300000231697858,300000002583089,"N","N","Y"
"National Volunteer VE Community Volunteer USD Salary Basis",300000232392874,"ANNUAL","Annually","VENZ","A","U","NO_COMPONENT",1,2,300000230964822,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VE Expert USD Salary Basis",300000232393108,"ANNUAL","Annually","VEN1","A","U","NO_COMPONENT",1,2,300000230759171,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VE Specialist USD Salary Basis",300000232391888,"ANNUAL","Annually","VENY","A","U","NO_COMPONENT",1,2,300000230762718,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VE University USD Salary Basis",300000232393367,"ANNUAL","Annually","VENE","A","U","NO_COMPONENT",1,2,300000230997861,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VE Youth USD Salary Basis",300000232392978,"ANNUAL","Annually","VEND","A","U","NO_COMPONENT",1,2,300000231030006,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VN Community Volunteer USD Salary Basis",300000232393434,"ANNUAL","Annually","VNMZ","A","U","NO_COMPONENT",1,2,300000230770286,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VN Expert USD Salary Basis",300000232391666,"ANNUAL","Annually","VNM1","A","U","NO_COMPONENT",1,2,300000230798309,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VN Specialist USD Salary Basis",300000232390117,"ANNUAL","Annually","VNMY","A","U","NO_COMPONENT",1,2,300000230971621,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VN University USD Salary Basis",300000232393395,"ANNUAL","Annually","VNME","A","U","NO_COMPONENT",1,2,300000230837177,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VN Youth USD Salary Basis",300000232393141,"ANNUAL","Annually","VNMD","A","U","NO_COMPONENT",1,2,300000230971579,"USD",300000231605164,300000002583089,"N","N","Y"
"National Volunteer VU Community Volunteer VUV Salary Basis",300000232392853,"ANNUAL","Annually","VUTZ","A","U","NO_COMPONENT",1,2,300000230790795,"VUV",300000231309692,300000002583089,"N","N","Y"
